Name,Category Main,Category Sub,Price,Unit,Image URL,Local Image,URL,Error
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/dui-bo-lon-330ml,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/dui-bo-chai-1-5l,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/thit-ga-ta,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/thit-ga-ta-500g,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/thit-ga-ta-1kg,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/thit-ga-ta-300g,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/thit-ga-ta-hop-6,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/thit-ga-ta-lon-330ml,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/thit-ga-ta-chai-1-5l,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/thit-ga-cong-nghiep,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/thit-ga-cong-nghiep-500g,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/thit-ga-cong-nghiep-1kg,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/thit-ga-cong-nghiep-300g,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/thit-ga-cong-nghiep-hop-6,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/thit-ga-cong-nghiep-lon-330ml,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/thit-ga-cong-nghiep-chai-1-5l,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/canh-ga,
Cánh gà 500g giá tốt tại Bách hoá XANH,,"Thịt gà, vịt",61500,500g,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/332832/bhx/thumb-canh-ga_202511031634200083.jpg,assets\bhx-images\canh-ga-500g-gia-tot-tai-bach-hoa-xanh.jpg,https://www.bachhoaxanh.com/thit-ga/canh-ga-500g,
Cánh gà giá tốt tại Bách hoá XANH,,"Thịt gà, vịt",29700,,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/226874/bhx/thumb-canh-ga_202511031634075326.jpg,assets\bhx-images\canh-ga-gia-tot-tai-bach-hoa-xanh.jpg,https://www.bachhoaxanh.com/thit-ga/canh-ga-1kg,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/canh-ga-300g,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/canh-ga-hop-6,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/canh-ga-lon-330ml,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/canh-ga-chai-1-5l,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/dui-ga,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/dui-ga-500g,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/dui-ga-1kg,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/dui-ga-300g,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/dui-ga-hop-6,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/dui-ga-lon-330ml,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/dui-ga-chai-1-5l,
N/A,,thit-ga,,,,,https://www.bachhoaxanh.com/thit-ga/uc-ga,
